# 取引量1000件以上のDEXルーター/プール等の中継アドレス。実ユーザーではなく
# 普及過程・採用行動の分析対象外(panel_builder.pyのbuild()でdex_hubとして読込)。
# tx_total は data/events_polygon.parquet 時点(2026-08-09作成)の参考値。
# known_addresses.csv(運営ウォレット、発行/償還分類に使用)とは別枠。
address,tx_total
0x01d316ec6aa3a634348468fba8c8668e6dfdba57,230914
0x67366782805870060151383f4bbff9dab53e5cd6,89323
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,17674
0xc590175e458b83680867afd273527ff58f74c02b,13935
0x7150ea07d00d8e5a46bcc809f1c9fdf5cb5f8e81,13883
0x3611b82c7b13e72b26eb0e9be0613bee7a45ac7c,13278
0xfda7e76f768ce8152bbe6e2acbf5bf16faf02eb6,13044
0xb0873c46937d34e98615e8c868bd3580bc6dcd47,11923
0x1095692a6237d83c6a72f3f5efedb9a670c49223,11558
0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,11400
0xbda506776accb792a20ae1464edbf009d912d4fe,11285
0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,9195
0x9c8b5b82fd99c6e46c9da84d9a1bf176aabdc16d,7989
0x8f10b468b06c6fd214b65f87778827f7d113f996,7542
0x33b41fe18d3a39046ad672f8a0c8c415454f629c,7517
0x990636ecb3ff04d33d92e970d3d588bf5cd8d086,6792
0x6e3a010c26af12037ebd28d2681d47b2fa66a741,6662
0xb50f370b47c8cefe54e5d5f5ce1bddcebef56ddf,6630
0x4c3ccc98c01103be72bcfd29e1d2454c98d1a6e3,6333
0x16feebd8a0406debc5eaa4eda7b0d73569a66f26,5864
0xfb7c744da69aef11dfb54f31d9db12a3b086b025,5177
0xbc7a0ad9be03f675d037a5fa12510f556e2fb56b,4788
0xd57e8e9996b81f689bb26e680c2b8a1f8de7003d,4575
0x111111125421ca6dc452d289314280a0f8842a65,4232
0x3ea3e9a611bf4ade0fd8be21d038f675a3ad00a1,4200
0x39c5c73c795fcf0c6fabab6d202eb1e0e009173d,3964
0x09ad820aac5779683b481c4674208a4e1b024afa,3766
0x7f4f8ab7809c9b1e6ce14742608cf0f2b50ac473,3751
0x1bf0c2541f820e775182832f06c0b7fc27a25f67,3699
0x8c864d0c8e476bf9eb9d620c10e1296fb0e2f940,3699
0x9922a0daedc5ad96cc6aa03081e61fd7797f82d1,3601
0xb9a1e63750f63b4e0a0b546a010d18d4517b3619,3468
0x278d858f05b94576c1e6f73285886876ff6ef8d2,3268
0x699aa01ba343fc6625991a2fb45783d339a8ebdb,3230
0x11ac06159e63ff7eb29e5fb2b577eb5700cf9fb0,3113
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,2954
0x90cbe4bdd538d6e9b379bff5fe72c3d67a521de5,2880
0xd65c2c5777b86e2b5a6f600dc41763f5a12165fc,2840
0x1eb96976a6b1f3b52ad222d838920dd2f5eedd47,2831
0x01b755685b2ab5e0bebba0c2a5a2fae0c2d8cc4a,2819
0x43312232d33544ceb8fa28ae8e504a8b90667a0b,2795
0xbeef0f82e269760429be6255fa00821b7e4b592a,2749
0xc37184b6ab8d18be826af019cfa6bb71c6a0ab39,2682
0x7f51c134230eb9e5aba42bc364d3d3eba26d9712,2414
0x23b5aa437cfdaf03235d78961e032dba549dfc06,2333
0xe6eb8344c6d6ff331dae224625d2a96deea68f2a,2324
0xde33b176c0af1c404cf461acc7a60bfd8c9bef48,2311
0x7ec1d8ce05c1db1131c4e1a54dc9b0186c939fb9,2237
0xc15cb4f3fc767656b593157dba2cd845312e07c6,2176
0xc616a705cd0e9a2250db612271ff3e600b0ffd2a,2080
0xb98ae6bfa31105fbff492eede2774359ed9f5941,2009
0x4acb6c4321253548a7d4bb9c84032cc4ee04bfd7,1964
0xa6e941eab67569ca4522f70d343714ff51d571c4,1942
0x40a0f6576ca7bdefcfa763589419b7f5279070d6,1882
0x5fa7fe5f94f2d15585a3134c1c5d3019c8c1645d,1843
0xd78d199f8c402e7b5cc2abe278df0412400a3bae,1832
0xa3a691e9a9b13c120c81fa57aff56f4b2fac8db0,1807
0x1e82ad8a12068a85fcb96368463b434e77b21201,1685
0x6a000f20005980200259b80c5102003040001068,1680
0xbc2bdb40a0c32a8b67a8ac36e01f9cac0157d835,1598
0xbd4991108f931da96f5b4d7cd39d5c8e558a0d2d,1419
0xc10ee9031f2a0b84766a86b55a8d90f357910fb4,1385
0xbb1532f8209cb561a2fa064616c29448ed18ea4c,1374
0xb151a21bb6a13b3b09de4c599c6265882fb33742,1371
0xc38e4e6a15593f908255214653d3d947ca1c2338,1344
0x8b8e45061eb3e31ec3dc84652b98848671c2a4f7,1254
0x89c6340b1a1f4b25d36cd8b063d49045caf3f818,1226
0xad3b67bca8935cb510c8d18bd45f0b94f54a968f,1205
0x533c62c39fa1464cd7919d20175663b3e3a8f214,1203
0xc06ebbefd94032b85424d51906e2a335efae264b,1201
0xf5042e6ffac5a625d4e7848e0b01373d8eb9e222,1178
0x59d67d5322617ebdde6f6f6bd421ad381ec738de,1178
0x2dfadab8266483bed9fd9a292ce56596a2d1378d,1158
0x5d26c34b452179b16c9288108d46f42140f4ee87,1154
0xbd6c7b0d2f68c2b7805d88388319cfb6ecb50ea9,1109
0xfc7eba2cf33f76aae3704b10da36e71e12fd0a08,1078
0xeed12a082e816748489077f4937edf01c2a96d26,1056
0x0f4c15e30a5463ab5dc900345f7e5ea03ebd4f05,1028
