address,first_seen,last_active,balance,total_in,total_out,n_tx_in,n_tx_out,n_counterparties_in,n_counterparties_out,received_mint,sent_burn,excluded
0x00000000009726632680fb29d3f7a9734e3010e2,2026-01-26,2026-01-26,2.879375,338.75,335.870625,1,1,1,1,False,False,False
0x00000000d5d465157e1cab5dbc871556a65ef3b9,,2026-07-24,0.0,73998.27474733688,73998.27474733688,24,25,3,3,False,False,False
0x00000008cd6915bd0ff653a7150e8a958b102137,,2025-11-02,0.0,30.993111144929934,30.993111144929934,1,2,1,2,False,False,False
0x00000008fd2c6e6d7d6248edb06b00566c13af11,2025-11-17,2025-12-04,0.0,1428.6521690939858,1428.6521690939858,3,4,1,2,False,False,False
0x000010036c0190e009a000d0fc3541100a07380a,2026-03-16,2026-04-27,1e-18,11856347.595498847,11856347.595498847,123,123,19,4,False,False,False
0x00010cd899a5ffea92a7f08984664d99093dc964,2025-11-28,2025-12-03,0.0,200.0,200.0,1,1,1,1,False,False,False
0x00013cbac1144f7fb69251671e1a0bb4498e9dcd,2025-11-28,2026-03-22,0.0,200.0,200.0,1,1,1,1,False,False,False
0x0002313ccb247a9a547fa4310cec02f969cb63b6,2025-11-28,2025-12-08,0.0,200.0,200.0,1,1,1,1,False,False,False
0x00035296e50da446cf1af57d08b57762da9561c2,2025-11-28,2025-12-03,0.0,200.0,200.0,1,1,1,1,False,False,False
0x0003abf4a7861ad758cd634c9a47ffb9605c276d,2025-11-26,2025-12-10,271.23,271.23,0.0,3,0,1,0,False,False,False
0x000423e580341660789418b1381a5481aab72fb9,2025-11-28,2026-03-22,0.0,200.0,200.0,1,1,1,1,False,False,False
0x0004cbc23ae6d8902352846b4209db5675db8227,2025-11-28,2025-11-28,200.0,200.0,0.0,1,0,1,0,False,False,False
0x0004ea6ee24ab52cc182c023b1a76a3cbe484091,2025-11-28,2026-02-10,0.0,200.0,200.0,1,1,1,1,False,False,False
0x0005dcd513268c791d46e0be1072a7f098daf3d3,2025-12-05,2026-04-02,0.0,200.0,200.0,1,1,1,1,False,False,False
0x00061ef48708d539d5e3aaea392bb57eeb322e9b,2025-11-28,2026-02-10,0.0,200.0,200.0,1,1,1,1,False,False,False
0x0006c7c8915fd5e85461bc453d8f19f3f9474b19,2025-11-28,2025-12-02,0.0,200.0,200.0,1,1,1,1,False,False,False
0x00083199773d32f481285658a82caac4abedd465,2025-12-05,2025-12-22,0.0,200.0,200.0,1,1,1,1,False,False,False
0x0008765257ad8734d71b0c242eccc43a474f7abe,2025-11-28,2025-12-05,0.0,200.0,200.0,1,1,1,1,False,False,False
0x0009377c799e1c1b90cb51016bdbce9d4d151978,2025-11-28,2026-04-01,0.0,200.0,200.0,1,1,1,1,False,False,False
0x0009a8efa680ce663df2b6d1e5599454ed7c3687,2025-11-28,2026-03-20,0.0,200.0,200.0,1,1,1,1,False,False,False
0x000a12cc173d5943873cab1621bc252f2d31359a,2025-12-05,2026-05-11,0.0,200.0,200.0,1,1,1,1,False,False,False
0x000a9027f8902dd850ac0976ad5a76712b7361d6,2025-11-26,2026-03-25,459.63,459.63,0.0,17,0,1,0,False,False,False
0x000b6d5f5974755e1e55725757a000136f989eb9,2025-12-05,2026-03-26,0.0,200.0,200.0,1,1,1,1,False,False,False
0x000c0a87d33afa6bb8e7b0fe2bb0a4b0599b20ff,2025-11-26,2026-02-25,419.34,419.34,0.0,13,0,1,0,False,False,False
0x000f81ecfa3eee2d32a78931b7fe19ef5b63e34c,2025-12-05,2025-12-21,0.0,200.0,200.0,1,1,1,1,False,False,False
0x001028dc8a865d4eb6d1028b215538424bf6c131,2025-12-05,2026-03-26,0.0,200.0,200.0,1,1,1,1,False,False,False
0x0011282e92db54b23463ea0bb0278bb3b05dca10,2025-11-26,2026-01-14,370.79,370.79,0.0,8,0,1,0,False,False,False
0x0011c01f48046e362d505bdc2c3c3ddf61815e3c,2025-12-05,2025-12-05,200.0,200.0,0.0,1,0,1,0,False,False,False
0x0011e0bd0259be6fdc527bf30acfcb7d612e182b,2025-12-05,2025-12-20,0.0,200.0,200.0,1,1,1,1,False,False,False
0x001224de727191f33632b4cf3b4cb963a6a702d5,2025-12-05,2026-04-03,0.0,200.0,200.0,1,1,1,1,False,False,False
0x00126f187cdab7ee566f46bc68ac25e991410d99,2025-11-26,2026-03-25,369.71,369.71,0.0,16,0,1,0,False,False,False
0x00132e135bb8b671e0bb427f0ae7a083ecf14f6b,2025-12-05,2026-01-06,0.0,200.0,200.0,1,1,1,1,False,False,False
0x001347dd8629f5fca3de7bd0cedcfadb007b3f9d,2025-12-05,2026-03-23,0.0,200.0,200.0,1,1,1,1,False,False,False
0x0014bf20362f145af1912ff6e9558f953f22fce2,2025-12-05,2026-03-25,0.0,200.0,200.0,1,1,1,1,False,False,False
0x00158986ff978d6e1772280ac56ac6e82d70bb2f,2026-01-14,2026-03-25,107.97,107.97,0.0,11,0,1,0,False,False,False
0x001650e9b58492b53c667076d0bc92156abfdc36,2025-11-28,2025-12-08,0.0,200.0,200.0,1,1,1,1,False,False,False
0x00165f55edd525900567a594660e7b97dac52a67,2025-12-05,2026-04-02,0.0,200.0,200.0,1,1,1,1,False,False,False
0x00170ee1bf95f80bd5dd3c328c91ddd7145eb9f8,2025-11-28,2025-11-28,200.0,200.0,0.0,1,0,1,0,False,False,False
0x00174f0df2e985db8fe82660569f3fdba1e020d0,2025-12-05,2026-02-23,0.0,200.0,200.0,1,1,1,1,False,False,False
0x0018107bec7812b0b342c2a7f20bda25a7c7ca3b,2025-11-28,2026-03-21,0.0,200.0,200.0,1,1,1,1,False,False,False
0x00187f858078f516c189f40a0479cde92d9059e5,2025-11-28,2025-12-07,0.0,200.0,200.0,1,1,1,1,False,False,False
0x001b9e89c018aa7863ee3a45ef4ebb5d4684a9d1,2025-11-28,2026-03-22,0.0,200.0,200.0,1,1,1,1,False,False,False
0x001d3b994e7fed69dd9a5da106ba64408454c792,2026-01-29,2026-01-29,10000.0,10000.0,0.0,1,0,1,0,False,False,False
0x001d99f19545044e851c65952a7aff56451e0484,2025-12-05,2026-03-25,0.0,200.0,200.0,1,1,1,1,False,False,False
0x001dd9f65d4b66fd5ce82821ed3bdb40d04c8f1d,2025-12-12,2026-01-16,52.0,52.0,0.0,2,0,1,0,False,False,False
