address,first_seen,last_active,balance,total_in,total_out,n_tx_in,n_tx_out,n_counterparties_in,n_counterparties_out,received_mint,sent_burn,excluded
0x0000000000000000000000000000000000000001,2026-01-26,2026-01-26,1.0,1.0,0.0,1,0,1,0,False,False,False
0x000000000000000000000000000000000000dead,2025-11-12,2026-02-04,110.0,110.0,0.0,2,0,2,0,False,False,False
0x00000000000ba9cd9f5175108141a82b6c24d727,2026-07-15,2026-07-27,2.7397386043357e-05,1211594.1423318137,1211594.142304416,10,10,1,4,False,False,False
0x00000000000cd8d41afcfbe3fdce1423e46a9d2d,2026-04-21,2026-06-25,0.8559162842241301,829469.8559162843,829469.0,7,9,7,1,False,False,False
0x00000000009726632680fb29d3f7a9734e3010e2,2025-11-03,2026-07-25,0.0,1091658.9977643276,1091658.9977643276,34,35,10,10,False,False,False
0x0000000071647c6c1ae028daf9f80c000beac2cc,,2026-02-06,0.0,499800.0,499800.0,2,2,1,2,False,False,False
0x00000008cd6915bd0ff653a7150e8a958b102137,2025-10-27,2025-12-25,0.7962451299785585,54321.796245129975,54321.0,8,8,6,4,False,False,False
0x000010036c0190e009a000d0fc3541100a07380a,,2026-05-21,0.0,6226988.836004197,6226988.836004197,135,135,31,4,False,False,False
0x000057b2dbe32dc92939f9761f131bc48a720000,,2026-05-18,0.0,8000.0,8000.0,2,2,1,1,False,False,False
0x000066320a467de62b1548f46465abbb82662331,2025-11-10,2026-01-06,78.65015145499859,78.65015145499859,0.0,14,0,1,0,False,False,False
0x0000824b0a7b28a422dc3038d983892b0c8f891c,2025-11-19,2026-06-30,0.0,9411.098549460614,9411.098549460614,55,2,2,2,False,False,False
0x0000aeb716a0df7a9a1aad119b772644bc089da8,2025-12-25,2025-12-25,158.99,160.0,1.01,1,1,1,1,False,False,False
0x000117803e580649b644cd7f5d8fbe86f9063526,2025-11-19,2026-02-18,0.0,200.0,200.0,1,1,1,1,False,False,False
0x00013cbac1144f7fb69251671e1a0bb4498e9dcd,2026-06-10,2026-06-10,8.93,8.93,0.0,1,0,1,0,False,False,False
0x000208aa2f535e99b7c2435bd215858dde4be4b7,,2026-03-23,0.0,1000.0,1000.0,1,1,1,1,False,False,False
0x00039a6f889864c9f7662768d10b712f9aefe33b,2025-11-19,2026-02-11,0.0,200.0,200.0,1,1,1,1,False,False,False
0x0003abf4a7861ad758cd634c9a47ffb9605c276d,2025-11-12,2025-11-19,387.51000003939976,387.51000003939976,0.0,3,0,1,0,False,False,False
0x000423e580341660789418b1381a5481aab72fb9,2026-06-10,2026-06-10,8.93,8.93,0.0,1,0,1,0,False,False,False
0x0004d9da81b6c468a9a8b109bda6840de32cc680,,2026-03-28,0.0,320693.6068624827,320693.6068624827,1,1,1,1,False,False,False
0x000525b9dece52a5c350f979b4fe7dc6c00aa523,2025-11-19,2026-01-15,0.0,200.0,200.0,1,1,1,1,False,False,False
0x00056a96a3ee4a9e01a0b55c523d36444dac80a0,2025-11-19,2025-12-01,1.0,200.0,199.0,1,1,1,1,False,False,False
0x00058c351d6a48c78179ba47ca8128e7bc9c6038,,2026-03-11,0.0,72000.0,72000.0,3,3,1,1,False,False,False
0x000699ec6e6193183d4fed27fbf19135efea6df9,2025-11-12,2025-12-13,0.0,200.0,200.0,1,1,1,1,False,False,False
0x00069c81ced882f43baa384671edb7468ed68531,2025-11-19,2025-11-19,200.0,200.0,0.0,1,0,1,0,False,False,False
0x0006d3604e96b20b64d8b328341e0e41eefef32b,2026-04-04,2026-06-25,0.7449576535095196,2296874.769965018,2296874.0250073643,18,19,6,5,False,False,False
0x0009583d0342a8a8d4e6a0769682c29f59c16afa,,2026-04-01,0.0,46464.462063435974,46464.462063435974,1,1,1,1,False,False,False
0x0009a8efa680ce663df2b6d1e5599454ed7c3687,2026-06-10,2026-06-10,8.93,8.93,0.0,1,0,1,0,False,False,False
