address,balance,first_seen,last_active,excluded
0x24dde1c83adfbf5abd6a61775ecb65eae8da8da7,1700760694.73368,2026-06-30,2026-07-21,False
0x8549e82239a88f463ab6e55ad1895b629a00def3,1495442793.0,,2026-07-21,True
0xb808af91bdc577bfb3f9c91470f3286dd076e5c1,262561277.48342997,,2026-07-21,True
0x87c73135387346013b1a5d7ec340f1020c6866f9,19614988.6189476,2026-06-18,2026-07-21,False
0xaa9a26c3f02241fa0fb5a467118334df9f4d368d,3000000.0,2026-07-20,2026-07-21,False
0x2a1e3ac1aecd1b9a898ae705ef2b9ccffb955bba,2976909.0,2026-06-18,2026-07-21,False
0x39c99355616c8fe47459ea434aa7fce0d5790d8f,2142300.0,2026-06-25,2026-07-10,False
0x4dbd215f0814701762d20caf31f0b6f083b57048,2013730.0,2026-05-23,2026-07-21,False
0xa8ed576ec9bd826e9bf5c368cb0c3e8f07531683,1224340.0,2026-05-22,2026-07-20,False
0x8ec76c44ca31b909d9bb0da0f544bc171aadc89b,1009620.0,2026-05-30,2026-07-08,False
0x337db4e226c76404f81ea914052b4104a4bf9f60,1006850.0,2026-06-04,2026-07-21,False
0xbd6717fdbc88a999d4ca0b11c7e3d2131d1a2a4a,1003990.0,2026-05-24,2026-07-21,False
0x1ac2871352345fc5a76df06837c66841037e036e,1000000.0,2026-06-25,2026-06-25,False
0xf5b12182fa2fc05688a592f398127570cc71910c,1000000.0,2026-06-15,2026-07-03,False
0x96a5ea9082ec898f6a12932992e649665d603d32,1000000.0,2026-06-20,2026-06-20,False
0xafe9bdec7d0629f2e9424d571cded735eb5d9fe1,644081.5563271048,2026-05-18,2026-07-21,False
0x7ec1d8ce05c1db1131c4e1a54dc9b0186c939fb9,520779.00019464694,2026-05-24,2026-07-18,False
0x6c1a968628f386bb966869e7ff4171656049b0cd,303930.0,2026-05-24,2026-07-08,False
0x4dd27fee42e0cf87feff57183ec61f0a44d2d4bc,102250.0,2026-05-23,2026-07-21,False
0x9c1a99cf887bce24678993c29bd6a6e69326cdd3,101150.0,2026-05-25,2026-07-08,False
0x2fe5238d9ab9a5713ccf9652297d8b6c17a0788d,101140.0,2026-05-24,2026-07-08,False
0x850ee90bafb9e6f74ae3d69080593165a9532ce9,101000.0,2026-05-28,2026-07-08,False
0xcf5a02a9f024f89c2f7b23826b7e0cffcebe55ef,100810.0,2026-05-24,2026-07-08,False
0x8b1ef7028cb8205920e741f2a51eebbfdd1a7f8a,100700.0,2026-06-02,2026-07-08,False
0xc17c8e7368a0f52776c4ce485cb81dec06c211ce,100560.0,2026-06-01,2026-07-08,False
0x8a43d7a76712d8ffd6947aab713850ae5cb32ff4,100010.0,2026-05-23,2026-07-21,False
0xff152cd0b9a3903ae0ef04662086eb8aea0d7daa,99999.99999999999,2026-06-03,2026-06-03,False
0x2de5b9d21bd1bf10dd0b6b26d43b0ba2a61a99dd,99999.99999999999,2026-06-25,2026-06-25,False
0xb8711e519d5178e3e0099cdcada5cbfc98a96b9e,99999.99999999999,2026-05-27,2026-05-27,False
0xd6bfa13f819f40f9590f16564bb0b80a459018ab,80100.0,2026-07-15,2026-07-15,False
0x39fc8e2377bb75f455b2a2505d33779d98c41aca,60312.724988131195,2026-05-17,2026-06-10,False
0x50087a5d5ebf2ff6e137ae5a452fe27f60d9446f,60085.0,2026-07-11,2026-07-21,False
0xc4cf8ba5eeac9a6bda15f9104680398ac6274f14,53000.0,2026-05-23,2026-05-30,False
0x4f5ebee3b2d36217d1338ec75a530ce6a155be50,50160.00000000001,2026-05-23,2026-07-21,False
0x4b03ffa2c0caff7bd788fabdf2679df9a8031d75,49999.99999999999,2026-07-14,2026-07-14,False
0x12609c3a7a1a212953417c90472cdcf034965a1c,48552.25834146158,2026-06-29,2026-07-20,False
