address,balance,first_seen,last_active,excluded
0xb808af91bdc577bfb3f9c91470f3286dd076e5c1,1824498762.0262108,,2026-07-09,True
0x8549e82239a88f463ab6e55ad1895b629a00def3,842432352.0,,2026-07-09,True
0x5fa7fe5f94f2d15585a3134c1c5d3019c8c1645d,71069398.26,2026-04-27,2026-07-09,False
0x67366782805870060151383f4bbff9dab53e5cd6,38298608.63532937,2025-10-27,2026-07-09,False
0xf3f9def3b1ce5d220bfeda7dbb9d7c4a3541ff4d,30000000.0,2026-06-30,2026-07-08,False
0x4b10e3cea00db4f073222f817d56335e26091ae1,9378735.500015585,2026-04-30,2026-06-22,False
0x906acd1cb1f681126e41716db5a5e04b9652e046,8480586.623611853,2025-12-04,2026-07-08,False
0xd47e40ed7f00b53717e457d732bdaaf75dd93812,7808398.230625012,2025-11-25,2025-12-01,False
0x533c62c39fa1464cd7919d20175663b3e3a8f214,7163384.867978604,2026-01-25,2026-07-08,False
0xa6c1fcc9fa99406a34c6ef05c6de81ed679cfee7,7134528.96708087,2026-01-23,2026-01-23,False
0x049db0bdc4a8569bacb8f33210af514a82aec838,6636985.786763391,2025-10-28,2026-07-08,False
0xcedb85b17c5c07eb06bf71522e09f70f2cca1a68,6302141.851428487,2025-11-20,2025-11-25,False
0x8277c9784b603ed09be99c014d5c890c2535d706,6128046.186626108,2026-01-28,2026-01-28,False
0xe9aa7d7e2a6a2276df67676ab9f02bfd59db468a,5508218.098347467,2026-06-08,2026-07-05,False
0xfc9023d388455ae11e0c379704cc38bdc167935b,5410519.550296,2026-03-31,2026-07-01,False
0xbff29fc6d49a12b32937232788c735334efb2541,5000000.0,2026-02-04,2026-07-07,False
0x494f3579e12a045ff1404241d25ae740ddb0ca91,4927296.761185664,2026-01-28,2026-05-05,False
0x7c4907a343e362c36fbe9ece68c01f190b1ba5bc,3990000.0000000005,2025-11-26,2026-02-06,False
0x16feebd8a0406debc5eaa4eda7b0d73569a66f26,3763216.277527962,2026-01-22,2026-07-09,False
0xdf455c6b0124b9f0c9856d5e3d580d17d81d65d0,3572350.245875821,2026-01-16,2026-07-08,False
0x7aeb2badc5e2e035e52c34f89aa1fefac2862ecb,3530749.2287897724,2026-01-27,2026-01-27,False
0x11ccb980169aac94ef3eaa75fc57810d16ac8317,3000000.0,2026-06-16,2026-07-09,False
0xbeef0f82e269760429be6255fa00821b7e4b592a,2994059.146454866,2026-04-28,2026-07-05,False
0x12609c3a7a1a212953417c90472cdcf034965a1c,2977462.1610205993,2026-06-08,2026-07-08,False
0x1d3b180c38c342dcae23c71dc9637fc829211cc6,2648832.618607452,2026-02-21,2026-02-21,False
0x7a8c1c90ee9cb954a017cbbe2fcaaad8fc1e6a61,2000000.0,2026-02-05,2026-06-27,False
0xfda7e76f768ce8152bbe6e2acbf5bf16faf02eb6,1944852.7456969707,2025-10-27,2026-07-09,False
0x061165aa193f4ec7aa130ff5b87b92325cba4d86,1841400.0000000002,2026-06-30,2026-06-30,False
0x28972bbf065bd56c21f6087aaecc50a381852baf,1791119.6872714388,2026-05-03,2026-05-03,False
0x2d6ecb06c64c603c1f0ab32815afbfcb5ff6b32c,1619258.3642780115,2026-05-08,2026-07-05,False
0xc2fed8e79656e675f7bc8f9c524306a3f0e776dc,1612235.0352261236,2025-11-30,2026-06-09,False
0x02d17bc00778648ad5fb3002b7d88a72358bab0f,1596860.9064361062,2026-03-19,2026-03-19,False
