observed_week,cohort_week,cohort_size,still_holding,weeks_since,retention
2025-10-27,2025-10-27,2650,2432,0,0.9177358490566038
2025-11-03,2025-10-27,2650,2395,1,0.9037735849056604
2025-11-03,2025-11-03,618,483,0,0.7815533980582524
2025-11-10,2025-10-27,2650,2374,2,0.8958490566037736
2025-11-10,2025-11-03,618,460,1,0.7443365695792881
2025-11-10,2025-11-10,26826,25747,0,0.9597778274808022
2025-11-17,2025-10-27,2650,2347,3,0.8856603773584906
2025-11-17,2025-11-03,618,451,2,0.7297734627831716
2025-11-17,2025-11-10,26826,25132,1,0.9368523074629092
2025-11-17,2025-11-17,23138,22618,0,0.9775261474630478
2025-11-24,2025-10-27,2650,2325,4,0.8773584905660378
2025-11-24,2025-11-03,618,446,3,0.7216828478964401
2025-11-24,2025-11-10,26826,23962,2,0.8932379035264296
2025-11-24,2025-11-17,23138,21958,1,0.9490016423199931
2025-11-24,2025-11-24,338,252,0,0.7455621301775148
2025-12-01,2025-10-27,2650,2307,5,0.8705660377358491
2025-12-01,2025-11-03,618,445,4,0.7200647249190939
2025-12-01,2025-11-10,26826,22757,3,0.8483187951986878
2025-12-01,2025-11-17,23138,19060,2,0.8237531333736711
2025-12-01,2025-11-24,338,234,1,0.6923076923076923
2025-12-01,2025-12-01,386,309,0,0.8005181347150259
2025-12-08,2025-10-27,2650,2297,6,0.8667924528301887
2025-12-08,2025-11-03,618,431,5,0.6974110032362459
2025-12-08,2025-11-10,26826,19892,4,0.7415194214567956
2025-12-08,2025-11-17,23138,16530,3,0.7144091969919613
2025-12-08,2025-11-24,338,221,2,0.6538461538461539
2025-12-08,2025-12-01,386,293,1,0.7590673575129534
2025-12-08,2025-12-08,250,193,0,0.772
2025-12-15,2025-10-27,2650,2292,7,0.8649056603773585
2025-12-15,2025-11-03,618,433,6,0.7006472491909385
2025-12-15,2025-11-10,26826,18935,5,0.7058450756728547
2025-12-15,2025-11-17,23138,13877,4,0.5997493301063186
2025-12-15,2025-11-24,338,220,3,0.650887573964497
2025-12-15,2025-12-01,386,286,2,0.7409326424870466
2025-12-15,2025-12-08,250,184,1,0.736
2025-12-15,2025-12-15,243,176,0,0.7242798353909465
2025-12-22,2025-10-27,2650,2284,8,0.8618867924528302
2025-12-22,2025-11-03,618,422,7,0.6828478964401294
2025-12-22,2025-11-10,26826,18849,6,0.7026392305971818
2025-12-22,2025-11-17,23138,12155,5,0.5253263030512577
2025-12-22,2025-11-24,338,219,4,0.6479289940828402
2025-12-22,2025-12-01,386,286,3,0.7409326424870466
2025-12-22,2025-12-08,250,183,2,0.732
2025-12-22,2025-12-15,243,166,1,0.6831275720164609
2025-12-22,2025-12-22,431,372,0,0.8631090487238979
2025-12-29,2025-10-27,2650,2269,9,0.8562264150943396
2025-12-29,2025-11-03,618,421,8,0.6812297734627831
2025-12-29,2025-11-10,26826,18757,7,0.6992097219115784
2025-12-29,2025-11-17,23138,11281,6,0.4875529432103034
2025-12-29,2025-11-24,338,215,5,0.636094674556213
2025-12-29,2025-12-01,386,284,4,0.7357512953367875
2025-12-29,2025-12-08,250,184,3,0.736
2025-12-29,2025-12-15,243,163,2,0.6707818930041153
2025-12-29,2025-12-22,431,361,1,0.8375870069605569
2025-12-29,2025-12-29,196,141,0,0.7193877551020408
2026-01-05,2025-10-27,2650,2271,10,0.8569811320754717
2026-01-05,2025-11-03,618,410,9,0.6634304207119741
2026-01-05,2025-11-10,26826,18523,8,0.6904868411242824
