date,transfers,mint_count,burn_count,mint_volume,burn_volume,p2p_volume,issuance_count,issuance_volume,redemption_count,redemption_volume,internal_count,internal_volume,transfer_count,transfer_volume,unique_senders,unique_receivers,active_addresses,new_addresses,zeroed_addresses,resurrected_addresses,holders_gt0,circulating_supply,mean_balance,median_balance,gini,top10_share,top100_share,unique_senders_ex_hub,unique_receivers_ex_hub,active_addresses_ex_hub,new_addresses_ex_hub,zeroed_addresses_ex_hub,resurrected_addresses_ex_hub,holders_gt0_ex_hub,circulating_supply_ex_hub,mean_balance_ex_hub,median_balance_ex_hub,gini_ex_hub,top10_share_ex_hub,top100_share_ex_hub,holders_ge1,holders_ge1_ex_hub,holders_ge100,holders_ge100_ex_hub,holders_ge1000,holders_ge1000_ex_hub,holders_ge10000,holders_ge10000_ex_hub,n_lt_1k,val_lt_1k,n_lt_1k_ex_hub,val_lt_1k_ex_hub,n_1k_10k,val_1k_10k,n_1k_10k_ex_hub,val_1k_10k_ex_hub,n_10k_100k,val_10k_100k,n_10k_100k_ex_hub,val_10k_100k_ex_hub,n_100k_1m,val_100k_1m,n_100k_1m_ex_hub,val_100k_1m_ex_hub,n_ge_1m,val_ge_1m,n_ge_1m_ex_hub,val_ge_1m_ex_hub,share_holders_lt10k,share_holders_lt10k_ex_hub
2025-06-03,1,1,0,100000000.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,
2025-08-04,1,0,0,0.0,0.0,100000000.0,0,0.0,0,0.0,1,100000000.0,0,0.0,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,
2025-08-18,2,0,0,0.0,0.0,6000.0,1,3000.0,1,3000.0,0,0.0,0,0.0,1,1,1,0,0,0,0,0.0,,,,,,1,1,1,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,
2025-09-26,1,1,0,300000000.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,
2025-09-29,2,0,0,0.0,0.0,6000.0,1,3000.0,1,3000.0,0,0.0,0,0.0,1,1,1,0,0,0,0,0.0,,,,,,1,1,1,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,
2025-10-27,334,0,0,0.0,0.0,8651452.685638594,250,6739996.0,3,11000.0,0,0.0,81,1900456.6856385928,28,276,276,259,0,0,259,6728996.0,25980.679536679538,3000.0,0.8174872436358795,0.6175185799235307,0.9331678996238355,23,270,270,257,0,0,257,6728978.5,26182.79571984436,3000.0,0.8160715525658644,0.6175201858991106,0.93317032650605,255,254,250,250,244,244,97,97,15,2870.6822294140247,13,2853.1822294140247,147,465689.4638733956,147,465689.4638733956,93,2705155.799666072,93,2705155.799666072,1,500000.0,1,500000.0,3,3055280.0542311184,3,3055280.0542311184,0.6254826254826255,0.622568093385214
2025-10-28,525,0,0,0.0,0.0,12048358.347309507,289,7100100.0,17,2002000.0,0,0.0,219,2946258.347309507,65,350,362,300,7,0,552,11827096.0,21425.898550724636,3000.0,0.779995323739143,0.41184826524398704,0.8238355438556488,57,341,353,299,7,0,549,11825459.785,21539.999608378872,3000.0,0.7790212133156393,0.411905250115744,0.8239495328335742,539,538,524,523,510,509,210,210,42,6882.716239424812,40,6882.716239424812,300,976631.2183676064,299,974995.0033676064,201,6072613.094918871,201,6072613.094918871,6,1422939.4648759589,6,1422939.4648759589,3,3348029.505598139,3,3348029.505598139,0.6195652173913043,0.6174863387978142
2025-10-29,362,0,0,0.0,0.0,12027247.257414727,180,5418944.0,7,143004.55387,0,0.0,175,6465298.703544727,46,212,223,175,2,0,725,17103035.44613,23590.3937188,3000.0,0.7989810835108919,0.4210644786609923,0.8147109801256753,37,202,213,175,2,0,722,17101376.476907864,23686.117004027514,3000.0,0.7983089841588141,0.42110532525667865,0.8147900135556913,710,709,692,691,678,677,267,267,47,7117.941116950128,45,7117.941116950128,411,1341318.3986692156,410,1339659.4294470781,253,7755302.594520999,253,7755302.594520999,9,2294815.808177634,9,2294815.808177634,5,5704480.7036452,5,5704480.7036452,0.6317241379310344,0.6301939058171745
2025-10-30,242,0,0,0.0,0.0,8266324.887939254,110,3512537.0,4,22000.0,0,0.0,128,4731787.887939254,52,147,161,102,8,1,820,20593572.44613,25114.11273918293,3000.0,0.8074750345223224,0.3944423797615576,0.8065997104543655,44,138,152,102,8,1,817,20591703.47690786,25204.043423387833,3000.0,0.806921485381997,0.39447818062031165,0.8066729200377842,805,804,783,782,769,768,301,301,51,6724.416597797423,49,6724.416597797422,468,1532486.5840412383,467,1530617.6148191006,281,8488608.84439905,281,8488608.84439905,14,4201274.877648357,14,4201274.877648357,6,6364477.723443558,6,6364477.723443558,0.6329268292682927,0.631578947368421
2025-10-31,235,0,0,0.0,0.0,4677885.694120281,60,2152000.0,4,118741.0,0,0.0,171,2407144.694120281,38,95,108,62,6,0,876,22626831.44613,25829.71626270548,3000.0,0.8161663461324451,0.42235677055749243,0.8064946370852525,32,87,100,61,6,0,872,22593815.370792974,25910.338727973594,3000.0,0.8159767937629119,0.42297395551394984,0.8076280117809355,860,858,835,833,820,818,318,317,56,7791.0708502720645,54,7791.0708502720645,502,1643556.650034058,501,1641560.603773756,298,8918730.966361534,297,8887710.937284809,13,4040157.301347953,13,4040157.301347953,7,8016595.457536184,7,8016595.457536184,0.636986301369863,0.6364678899082569
2025-11-01,106,0,0,0.0,0.0,2875280.525143575,58,2153000.0,4,549500.0,0,0.0,44,172780.5251435748,26,82,91,57,7,0,926,24230331.44613,26166.66462865011,3000.0,0.8155903559655799,0.4136072904131671,0.792455810186416,22,76,85,57,7,0,922,24181695.884026084,26227.43588289163,3000.0,0.8154462337094411,0.41443916023553173,0.7940496410722138,909,907,884,882,868,866,333,332,58,8320.711968743279,56,8320.711968743279,535,1751128.1026294534,534,1749018.3063691512,312,9845883.594937064,311,9799357.829093453,13,3603157.301347953,13,3603157.301347953,8,9021841.735246785,8,9021841.735246785,0.6403887688984882,0.6399132321041214
