date,transfers,mint_count,burn_count,mint_volume,burn_volume,p2p_volume,issuance_count,issuance_volume,redemption_count,redemption_volume,internal_count,internal_volume,transfer_count,transfer_volume,unique_senders,unique_receivers,active_addresses,new_addresses,zeroed_addresses,resurrected_addresses,holders_gt0,circulating_supply,mean_balance,median_balance,gini,top10_share,top100_share,unique_senders_ex_hub,unique_receivers_ex_hub,active_addresses_ex_hub,new_addresses_ex_hub,zeroed_addresses_ex_hub,resurrected_addresses_ex_hub,holders_gt0_ex_hub,circulating_supply_ex_hub,mean_balance_ex_hub,median_balance_ex_hub,gini_ex_hub,top10_share_ex_hub,top100_share_ex_hub,holders_ge1,holders_ge1_ex_hub,holders_ge100,holders_ge100_ex_hub,holders_ge1000,holders_ge1000_ex_hub,holders_ge10000,holders_ge10000_ex_hub,n_lt_1k,val_lt_1k,n_lt_1k_ex_hub,val_lt_1k_ex_hub,n_1k_10k,val_1k_10k,n_1k_10k_ex_hub,val_1k_10k_ex_hub,n_10k_100k,val_10k_100k,n_10k_100k_ex_hub,val_10k_100k_ex_hub,n_100k_1m,val_100k_1m,n_100k_1m_ex_hub,val_100k_1m_ex_hub,n_ge_1m,val_ge_1m,n_ge_1m_ex_hub,val_ge_1m_ex_hub,share_holders_lt10k,share_holders_lt10k_ex_hub
2025-06-03,3,3,0,300000000.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,
2025-08-04,3,0,0,0.0,0.0,300000000.0,0,0.0,0,0.0,3,300000000.0,0,0.0,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,
2025-08-18,4,0,0,0.0,0.0,12000.0,2,6000.0,2,6000.0,0,0.0,0,0.0,2,2,2,0,0,0,0,0.0,,,,,,2,2,2,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,
2025-08-19,2,0,0,0.0,0.0,2000000.0,1,1000000.0,1,1000000.0,0,0.0,0,0.0,1,1,1,0,0,0,0,0.0,,,,,,1,1,1,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,
2025-09-26,3,3,0,900000000.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,
2025-09-29,6,0,0,0.0,0.0,1112000.0,3,1006000.0,3,106000.0,0,0.0,0,0.0,2,2,2,1,0,0,1,900000.0,900000.0,900000.0,0.0,1.0,1.0,2,2,2,1,0,0,1,900000.0,900000.0,900000.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,900000.0,1,900000.0,0,0.0,0,0.0,0.0,0.0
2025-10-08,1,0,0,0.0,0.0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,1,0,1,0,0,0,1,900000.0,900000.0,900000.0,0.0,1.0,1.0,1,0,1,0,0,0,1,900000.0,900000.0,900000.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,900000.0,1,900000.0,0,0.0,0,0.0,0.0,0.0
2025-10-21,1,0,0,0.0,0.0,900000.0,0,0.0,1,900000.0,0,0.0,0,0.0,1,0,1,0,1,0,0,0.0,,,,,,1,0,1,0,1,0,0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,
2025-10-27,2502,0,0,0.0,0.0,32279678.923511337,538,20585447.0,22,2060678.0,0,0.0,1942,9633553.923511337,178,1334,1334,1246,0,0,1246,18524769.000000004,14867.390850722315,20.0,0.9341175785460791,0.5529545740988793,0.8883821211536987,160,1312,1312,1238,0,0,1238,16344783.767492522,13202.571702336447,20.0,0.9270892466487932,0.5256621447664224,0.8747832941879062,1224,1218,570,566,509,507,205,203,737,28361.33477344673,731,27305.89345212208,304,989334.0871242691,304,989334.0871242691,186,5165424.210782312,185,5135016.081307756,12,4137847.6513772546,12,4137847.6513772546,7,8203801.715942718,6,6055280.054231118,0.8354735152487961,0.8360258481421647
2025-10-28,2252,0,0,0.0,0.0,50538961.07939049,509,22794655.0,32,3056797.0,0,0.0,1711,24687509.079390485,247,993,1025,811,15,0,2042,38262627.0,18737.81929480901,301.17734183042444,0.9275065610037767,0.4340278984562653,0.8292170142196411,221,964,996,808,15,0,2031,35185158.05821225,17324.056158647094,303.2131466085286,0.9224363517785847,0.41718223997122916,0.8173377452030879,1981,1973,1226,1222,968,964,387,385,1074,62780.688485273306,1067,62666.20409384924,581,1944876.616923385,579,1937385.7247534217,350,10331209.705967983,350,10331209.705967983,23,5316712.402397402,22,5175273.370930265,14,20607047.586225957,13,17678623.05246673,0.8104799216454457,0.810438207779419
