date,transfers,mint_count,burn_count,mint_volume,burn_volume,p2p_volume,issuance_count,issuance_volume,redemption_count,redemption_volume,internal_count,internal_volume,transfer_count,transfer_volume,unique_senders,unique_receivers,active_addresses,new_addresses,zeroed_addresses,resurrected_addresses,holders_gt0,circulating_supply,mean_balance,median_balance,gini,top10_share,top100_share,unique_senders_ex_hub,unique_receivers_ex_hub,active_addresses_ex_hub,new_addresses_ex_hub,zeroed_addresses_ex_hub,resurrected_addresses_ex_hub,holders_gt0_ex_hub,circulating_supply_ex_hub,mean_balance_ex_hub,median_balance_ex_hub,gini_ex_hub,top10_share_ex_hub,top100_share_ex_hub,holders_ge1,holders_ge1_ex_hub,holders_ge100,holders_ge100_ex_hub,holders_ge1000,holders_ge1000_ex_hub,holders_ge10000,holders_ge10000_ex_hub,n_lt_1k,val_lt_1k,n_lt_1k_ex_hub,val_lt_1k_ex_hub,n_1k_10k,val_1k_10k,n_1k_10k_ex_hub,val_1k_10k_ex_hub,n_10k_100k,val_10k_100k,n_10k_100k_ex_hub,val_10k_100k_ex_hub,n_100k_1m,val_100k_1m,n_100k_1m_ex_hub,val_100k_1m_ex_hub,n_ge_1m,val_ge_1m,n_ge_1m_ex_hub,val_ge_1m_ex_hub,share_holders_lt10k,share_holders_lt10k_ex_hub
2025-06-03,1,1,0,100000000.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,
2025-08-04,1,0,0,0.0,0.0,100000000.0,0,0.0,0,0.0,1,100000000.0,0,0.0,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,
2025-08-19,2,0,0,0.0,0.0,2000000.0,1,1000000.0,1,1000000.0,0,0.0,0,0.0,1,1,1,0,0,0,0,0.0,,,,,,1,1,1,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,
2025-09-26,1,1,0,300000000.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,
2025-09-29,2,0,0,0.0,0.0,1100000.0,1,1000000.0,1,100000.0,0,0.0,0,0.0,1,1,1,1,0,0,1,900000.0,900000.0,900000.0,0.0,1.0,1.0,1,1,1,1,0,0,1,900000.0,900000.0,900000.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,900000.0,1,900000.0,0,0.0,0,0.0,0.0,0.0
2025-10-08,1,0,0,0.0,0.0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,1,0,1,0,0,0,1,900000.0,900000.0,900000.0,0.0,1.0,1.0,1,0,1,0,0,0,1,900000.0,900000.0,900000.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,900000.0,1,900000.0,0,0.0,0,0.0,0.0,0.0
2025-10-21,1,0,0,0.0,0.0,900000.0,0,0.0,1,900000.0,0,0.0,0,0.0,1,0,1,0,1,0,0,0.0,,,,,,1,0,1,0,1,0,0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,
2025-10-27,119,0,0,0.0,0.0,7095404.966399854,4,4000000.0,1,900000.0,0,0.0,114,2195404.966399854,31,63,63,49,0,0,49,3100000.0,63265.30612244898,518.633237,0.9213973794599981,0.9906605483983307,1.0,28,60,60,48,0,0,48,3100000.0,64583.333333333336,576.2713084925638,0.9197598248654147,0.9906605483983307,1.0,43,43,35,35,22,22,7,7,27,4601.441744467652,26,4601.441744467653,15,43070.53723717742,15,43070.53723717742,3,180835.72468204756,3,180835.72468204756,2,871492.2963363074,2,871492.2963363074,2,2000000.0,2,2000000.0,0.8571428571428571,0.8541666666666666
2025-10-28,205,0,0,0.0,0.0,16061967.217957519,9,9000000.0,1,1000000.0,0,0.0,195,6061967.217957519,33,69,70,44,2,0,91,11100000.0,121978.02197802198,620.6193704156503,0.9167432408971482,0.9725698799152422,1.0,33,68,69,43,2,0,89,11099968.76147733,124718.75012895877,633.9093799851277,0.9148767768702954,0.9725726170081921,1.0,80,79,67,67,43,43,15,15,48,9392.543097431273,46,9361.304574762906,28,96996.30698819141,28,96996.30698819141,6,298085.4828551871,6,298085.4828551871,2,1204932.1201905964,2,1204932.1201905964,7,9490593.546868593,7,9490593.546868593,0.8351648351648352,0.8314606741573034
2025-10-29,131,0,0,0.0,0.0,6932801.121897686,3,3000000.0,2,14354.0,0,0.0,126,3918447.121897686,39,62,66,36,4,0,123,14085646.0,114517.44715447155,578.2473074581447,0.9370627269211512,0.9585272164875364,0.9999994550908,36,59,63,36,4,0,121,14085614.76147733,116410.03935105231,603.4816823946059,0.9360257891556185,0.9585293422715144,0.9999996758414684,103,102,86,86,54,54,21,21,69,12728.97681178056,67,12697.738289112194,33,114047.46637538115,33,114047.46637538115,11,457394.50400403753,11,457394.50400403753,2,1136682.0991667113,2,1136682.0991667113,8,12364792.953642089,8,12364792.953642089,0.8292682926829268,0.8264462809917356
2025-10-30,122,0,0,0.0,0.0,15624942.235516215,6,6000000.0,0,0.0,0,0.0,116,9624942.235516215,42,61,66,23,5,1,142,20085646.0,141448.21126760563,627.2643752003889,0.9411460307357571,0.8990405432063412,0.9999766557190165,36,54,59,23,5,1,140,20085585.198283244,143468.46570202318,688.4404721895482,0.9403097121255752,0.899043264720697,0.9999796827803037,117,116,100,100,67,67,26,26,75,13196.298942542255,73,13135.497225785432,41,135059.53641642802,41,135059.53641642802,13,525100.0302397195,13,525100.0302397195,2,354480.0439110352,2,354480.0439110352,11,19057810.090490274,11,19057810.090490274,0.8169014084507042,0.8142857142857143
2025-10-31,93,0,0,0.0,0.0,13012120.85583462,4,4000000.0,1,3000.0,0,0.0,88,9009120.85583462,40,48,56,15,3,1,155,24082646.0,155371.90967741935,610.4045388156732,0.9468934330622762,0.8751213796023551,0.9999306138582413,37,45,53,15,3,1,153,24082597.1392917,157402.5956816451,620.6193704156503,0.9462022131619028,0.8751231551189329,0.9999326425978229,127,126,108,108,72,72,30,30,83,14043.059596933757,81,13994.198888634075,42,137379.9082456477,42,137379.9082456477,17,653925.2938611994,17,653925.2938611994,2,1202059.3463010772,2,1202059.3463010772,11,22075238.39199514,11,22075238.39199514,0.8064516129032258,0.803921568627451
