date,transfers,mint_count,burn_count,mint_volume,burn_volume,p2p_volume,issuance_count,issuance_volume,redemption_count,redemption_volume,internal_count,internal_volume,transfer_count,transfer_volume,unique_senders,unique_receivers,active_addresses,new_addresses,zeroed_addresses,resurrected_addresses,holders_gt0,circulating_supply,mean_balance,median_balance,gini,top10_share,top100_share,unique_senders_ex_hub,unique_receivers_ex_hub,active_addresses_ex_hub,new_addresses_ex_hub,zeroed_addresses_ex_hub,resurrected_addresses_ex_hub,holders_gt0_ex_hub,circulating_supply_ex_hub,mean_balance_ex_hub,median_balance_ex_hub,gini_ex_hub,top10_share_ex_hub,top100_share_ex_hub,holders_ge1,holders_ge1_ex_hub,holders_ge100,holders_ge100_ex_hub,holders_ge1000,holders_ge1000_ex_hub,holders_ge10000,holders_ge10000_ex_hub,n_lt_1k,val_lt_1k,n_lt_1k_ex_hub,val_lt_1k_ex_hub,n_1k_10k,val_1k_10k,n_1k_10k_ex_hub,val_1k_10k_ex_hub,n_10k_100k,val_10k_100k,n_10k_100k_ex_hub,val_10k_100k_ex_hub,n_100k_1m,val_100k_1m,n_100k_1m_ex_hub,val_100k_1m_ex_hub,n_ge_1m,val_ge_1m,n_ge_1m_ex_hub,val_ge_1m_ex_hub,share_holders_lt10k,share_holders_lt10k_ex_hub,cumulative_adopters,cumulative_adopters_ex_hub,cumulative_adopters_event,cumulative_adopters_event_ex_hub
2026-05-07,1,1,0,400000000.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,0,0,0,0
2026-05-15,4,0,0,0.0,0.0,206000.0,2,103000.0,1,3000.0,0,0.0,1,100000.0,2,3,3,1,0,0,1,99999.99999999999,99999.99999999999,99999.99999999999,0.0,1.0,1.0,2,3,3,1,0,0,1,99999.99999999999,99999.99999999999,99999.99999999999,0.0,1.0,1.0,1,1,1,1,1,1,1,1,0,0.0,0,0.0,0,0.0,0,0.0,1,99999.99999999999,1,99999.99999999999,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,3,3
2026-05-16,2,0,0,0.0,0.0,8000.0,2,8000.0,0,0.0,0,0.0,0,0.0,0,2,2,2,0,0,3,107999.99999999999,35999.99999999999,5000.0,0.5987654320987654,1.0,1.0,0,2,2,2,0,0,3,107999.99999999999,35999.99999999999,5000.0,0.5987654320987654,1.0,1.0,3,3,3,3,3,3,1,1,0,0.0,0,0.0,2,8000.0,2,8000.0,1,99999.99999999999,1,99999.99999999999,0,0.0,0,0.0,0,0.0,0,0.0,0.6666666666666666,0.6666666666666666,3,3,5,5
2026-05-18,29,0,0,0.0,0.0,55491.22946792619,3,38000.0,0,0.0,0,0.0,26,17491.22946792619,2,4,4,4,0,0,7,146000.0,20857.14285714286,5000.0,0.6496256192888875,1.0,1.0,2,4,4,4,0,0,7,146000.0,20857.14285714286,5000.0,0.6496256192888875,1.0,1.0,7,7,7,7,7,7,2,2,0,0.0,0,0.0,5,24041.308543378458,5,24041.308543378458,2,121958.69145662153,2,121958.69145662153,0,0.0,0,0.0,0,0.0,0,0.0,0.7142857142857143,0.7142857142857143,7,7,9,9
2026-05-19,64,0,0,0.0,0.0,172486.09339766356,4,86000.0,0,0.0,0,0.0,60,86486.09339766356,14,20,20,11,0,0,18,231999.99999999997,12888.888888888887,4296.235390274436,0.7123916353143147,0.9607758620689656,1.0000000000000002,14,20,20,11,0,0,18,231999.99999999997,12888.888888888887,4296.235390274436,0.7123916353143147,0.9607758620689656,1.0000000000000002,18,18,16,16,13,13,5,5,5,800.0,5,800.0,8,38548.314176347085,8,38548.314176347085,5,192651.6858236529,5,192651.6858236529,0,0.0,0,0.0,0,0.0,0,0.0,0.7222222222222222,0.7222222222222222,18,18,27,27
2026-05-20,16,0,0,0.0,0.0,106400.83666502548,1,3000.0,0,0.0,0,0.0,15,103400.83666502548,8,10,12,4,1,0,21,235000.0,11190.47619047619,3000.0,0.7398242177698959,0.9482978723404254,0.9999999999999999,8,10,12,4,1,0,21,235000.0,11190.47619047619,3000.0,0.7398242177698959,0.9482978723404254,0.9999999999999999,21,21,17,17,14,14,5,5,7,850.0,7,850.0,9,41561.11460978734,9,41561.11460978734,5,192588.88539021264,5,192588.88539021264,0,0.0,0,0.0,0,0.0,0,0.0,0.7619047619047619,0.7619047619047619,22,22,32,32
2026-05-21,15,0,0,0.0,0.0,6503.216091254101,1,3000.0,0,0.0,0,0.0,14,3503.216091254101,9,10,12,2,1,0,22,238000.0,10818.181818181818,3000.0,0.737677811602292,0.9361365546218486,0.9999999999999999,9,10,12,2,1,0,22,238000.0,10818.181818181818,3000.0,0.737677811602292,0.9361365546218486,0.9999999999999999,22,22,18,18,15,15,5,5,7,900.0,7,900.0,10,44607.494766437405,10,44607.494766437405,5,192492.50523356255,5,192492.50523356255,0,0.0,0,0.0,0,0.0,0,0.0,0.7727272727272727,0.7727272727272727,24,24,35,35
2026-05-22,130,0,0,0.0,0.0,6842831.121829792,69,6663000.0,1,3000.0,0,0.0,60,176831.12182979175,21,86,91,70,0,0,92,6898000.0,74978.26086956522,3000.0,0.8685900142707134,0.8408234270803131,1.0,21,86,91,70,0,0,92,6898000.0,74978.26086956522,3000.0,0.8685900142707134,0.8408234270803131,1.0,91,91,87,87,79,79,37,37,13,2407.20072606065,13,2407.20072606065,42,138120.4313894204,42,138120.4313894204,30,1257472.3678845188,30,1257472.3678845188,2,500000.0,2,500000.0,5,5000000.0,5,5000000.0,0.5978260869565217,0.5978260869565217,94,94,112,112
2026-05-23,317,0,0,0.0,0.0,74029184.12730467,231,72762000.0,11,147000.0,0,0.0,75,1120184.1273046667,34,202,206,176,3,0,265,79513000.0,300049.0566037736,99999.99999999999,0.6729175736659703,0.12737895061184965,0.9428619533912693,34,202,206,176,3,0,265,79513000.0,300049.0566037736,99999.99999999999,0.6729175736659703,0.12737895061184965,0.9428619533912693,262,262,255,255,245,245,167,167,20,3261.855203023054,20,3261.855203023054,78,258205.43021258613,78,258205.43021258613,71,4681750.214584391,71,4681750.214584391,33,11441500.0,33,11441500.0,63,63128282.5,63,63128282.5,0.36981132075471695,0.36981132075471695,270,270,291,291
2026-05-24,240,0,0,0.0,0.0,49680279.15980572,161,47435600.0,6,118000.0,0,0.0,73,2126679.159805722,29,154,162,116,5,0,376,126830600.0,337315.42553191487,99999.99999999999,0.6314183871480843,0.0798331199253177,0.7886762539954869,28,153,161,115,5,0,375,126830600.0,338214.93333333335,99999.99999999999,0.6304355028471459,0.0798331199253177,0.7886762539954869,372,372,360,360,351,351,262,262,25,2876.457547944312,24,2876.457547944312,89,286581.70339994226,89,286581.70339994226,106,7363259.339052113,106,7363259.339052113,57,20052600.0,57,20052600.0,99,99125282.5,99,99125282.5,0.30319148936170215,0.30133333333333334,386,385,411,410
2026-05-25,236,0,0,0.0,0.0,48996433.036660396,176,41758800.0,17,5578100.0,0,0.0,43,1659533.0366603984,33,169,183,129,7,0,498,163011300.0,327331.9277108434,99999.99999999999,0.6413058893544015,0.06209415439181639,0.614203118616996,33,168,182,129,7,0,497,162998371.70552245,327964.5305946126,99999.99999999999,0.6406713687473561,0.06209907941962441,0.614251834433623,493,492,479,478,469,468,338,337,29,3757.145218550034,29,3757.145218550034,131,424310.8251022799,131,424310.8251022799,143,10556083.19986847,142,10543154.905390922,64,20905100.0,64,20905100.0,131,131122048.8298107,131,131122048.8298107,0.321285140562249,0.32193158953722334,515,514,543,542
2026-05-26,119,0,0,0.0,0.0,25877668.16571861,74,21984181.0,12,1740998.96263848,0,0.0,33,2152488.2030801307,29,81,96,50,9,1,540,183254482.03736153,339360.15192103985,99999.99999999999,0.6293439572469214,0.055256759437655796,0.5463770802036767,28,81,95,50,9,1,539,183244553.74288398,339971.3427511762,99999.99999999999,0.6287206843696223,0.05525975328041056,0.5464066832256342,533,532,516,515,509,508,376,376,31,2958.26945941903,31,2958.26945941903,133,442951.36958131415,132,433023.0751037672,154,11304831.978067625,154,11304831.978067625,74,23377691.59044246,74,23377691.59044246,148,148126048.82981068,148,148126048.82981068,0.3037037037037037,0.30241187384044527,565,564,598,597
2026-05-27,122,1,0,190000000.0,0.0,13172937.760390839,53,12229000.0,5,131000.0,0,0.0,63,812937.7603908381,30,72,84,40,7,0,573,195352482.0373615,340929.2880233185,99999.99999999999,0.6306441465107249,0.051849865404130425,0.5125558057187154,29,71,83,40,7,0,572,195352482.03735197,341525.31824711885,99999.99999999999,0.6299984194942148,0.05184986540413296,0.5125558057187404,561,561,541,541,533,533,391,391,40,3141.096102864712,39,3141.0960933082197,142,470341.8097800235,142,470341.8097800235,158,11578258.71122547,158,11578258.71122547,73,23171691.59044246,73,23171691.59044246,160,160129048.82981068,160,160129048.82981068,0.31762652705061084,0.31643356643356646,605,604,642,641
2026-05-28,79,0,0,0.0,0.0,11657769.593013769,39,10138000.0,10,962620.72988487,0,0.0,30,557148.8631288991,22,48,57,33,2,1,605,204527861.30747664,338062.5806735151,99999.99999999999,0.6347921377918367,0.04952381467859083,0.48956190217665185,22,48,57,33,2,1,604,204527861.3074671,338622.2869328926,99999.99999999999,0.6341874890134225,0.04952381467859313,0.48956190217667467,588,588,566,566,556,556,404,404,49,3841.875569058786,48,3841.875559502292,152,505085.2462454156,152,505085.2462454156,163,12121193.765409015,163,12121193.765409015,74,24768691.59044246,74,24768691.59044246,167,167129048.82981068,167,167129048.82981068,0.3322314049586777,0.33112582781456956,638,637,676,675
2026-05-29,124,0,0,0.0,0.0,16162194.35157887,60,15671000.0,4,204984.06690141,0,0.0,60,286210.2846774604,21,62,71,40,1,0,644,219993877.24057525,341605.39944188704,99999.99999999999,0.6317812789478976,0.04604219002387684,0.45514470714252714,21,62,71,40,1,0,643,219993877.2405657,342136.66755920014,99999.99999999999,0.6312086215279805,0.04604219002387884,0.45514470714254696,628,628,604,604,592,592,432,432,52,4045.1962322187865,51,4045.1962226622927,160,526392.8229764169,160,526392.8229764169,173,12759698.801113443,173,12759698.801113443,78,25574691.59044246,78,25574691.59044246,181,181129048.8298107,181,181129048.8298107,0.32919254658385094,0.328149300155521,678,677,718,717
2026-05-30,78,0,0,0.0,0.0,16400804.220982576,35,14034658.0,5,343999.66319301,0,0.0,38,2022146.557789565,23,50,63,29,5,0,668,233684535.5773822,349827.14906793745,99999.99999999999,0.6254011119903645,0.04334475910001279,0.4284795679030031,23,49,62,29,5,0,667,233676937.79987046,350340.23658151494,99999.99999999999,0.6248780582710145,0.04334616841254078,0.42849349949786186,650,649,625,624,613,612,450,450,55,4053.247666864187,55,4053.247666864187,163,541188.402278942,162,533590.624767176,173,12425553.507183263,173,12425553.507183263,83,26584691.59044246,83,26584691.59044246,194,194129048.8298107,194,194129048.8298107,0.3263473053892216,0.32533733133433285,707,706,748,747
2026-05-31,43,0,0,0.0,0.0,8957529.141910778,23,5449100.0,7,3506000.0,0,0.0,13,2429.141910777704,14,27,35,13,5,0,676,235627635.5773822,348561.5910908021,99999.99999999999,0.6266870815955798,0.04298731715055362,0.42494611714137165,14,27,35,13,5,0,675,235620037.79987046,349066.72266647476,99999.99999999999,0.6261722515786028,0.04298870331479749,0.42495981990656373,656,655,632,631,620,619,456,456,56,4034.3477048596965,56,4034.3477048596965,164,538188.4022789422,163,530590.624767176,177,12466572.407145267,177,12466572.407145267,85,28489791.59044246,85,28489791.59044246,194,194129048.8298107,194,194129048.8298107,0.3254437869822485,0.3244444444444444,720,719,761,760
2026-06-01,63,0,0,0.0,0.0,9317019.495879695,27,7461870.0,7,1749001.0,0,0.0,29,106148.49587969475,20,40,49,16,5,1,688,241340504.57738224,350785.6171182881,99999.99999999999,0.6261351256594428,0.041969746925561296,0.4148870451942965,20,40,49,16,5,1,687,241332906.7998705,351285.1627363471,99999.99999999999,0.6256279860965799,0.04197106824060114,0.4149001069002349,667,666,642,641,629,628,460,460,59,4591.696325634078,59,4591.696325634078,169,558056.402278942,168,550458.6247671759,179,12666017.058524493,179,12666017.058524493,81,27982790.59044246,81,27982790.59044246,200,200129048.8298107,200,200129048.8298107,0.3313953488372093,0.3304221251819505,736,735,778,777
2026-06-02,78,0,0,0.0,0.0,7883263.858096406,28,7030000.0,12,724000.0,0,0.0,38,129263.85809640579,26,41,57,26,8,2,708,247646504.57738224,349783.19855562464,99999.99999999999,0.6272083775006267,0.04090104125348148,0.40432247974056634,26,41,57,26,8,2,707,247638906.79987043,350267.194907879,99999.99999999999,0.6267170197795721,0.040902296133077984,0.4043348847066671,683,682,658,657,645,644,470,470,63,4593.991688424078,63,4593.991688424078,175,582056.3922789422,174,574458.614767176,184,13256014.773161702,184,13256014.773161702,82,29674790.59044246,82,29674790.59044246,204,204129048.8298107,204,204129048.8298107,0.3361581920903955,0.3352192362093352,762,761,805,804
2026-06-03,138,0,0,0.0,0.0,11544427.926951164,32,8565100.0,10,1615000.92635687,0,0.0,96,1364327.000594295,25,51,61,34,4,0,738,254596603.65102535,344981.847765617,99999.99999999999,0.6319029564351523,0.03978450519270785,0.393285092550006,25,51,61,34,4,0,737,254589005.87351358,345439.62805090036,99999.99999999999,0.6314382635024944,0.039785692493855565,0.39329682947722183,710,709,681,680,667,666,488,488,71,4910.823464334078,71,4910.823464334078,179,588737.8486408019,178,581140.0711290357,194,13896017.558667062,194,13896017.558667062,83,28977888.59044246,83,28977888.59044246,211,211129048.82981068,211,211129048.82981068,0.33875338753387535,0.3378561736770692,796,795,842,841
2026-06-04,138,0,0,0.0,0.0,9771525.853737442,22,5959998.70179381,9,3802999.02929167,0,0.0,107,8528.122651962129,20,41,49,18,4,2,754,256753603.32352751,340522.02032298077,99999.99999999999,0.6368918207835171,0.039450273604288044,0.38998108510921686,20,41,49,18,4,2,753,256746005.54601574,340964.1507915216,99999.99999999999,0.636443775421407,0.03945144103978908,0.38999262565689613,723,722,692,691,676,675,493,493,78,5965.467966474078,78,5965.467966474078,183,599822.5175724981,182,592224.7400607319,196,13843877.917735368,196,13843877.917735368,82,27174888.59044246,82,27174888.59044246,215,215129048.82981068,215,215129048.82981068,0.34615384615384615,0.3452855245683931,814,813,861,860
2026-06-05,110,0,0,0.0,0.0,5422170.37556566,16,4418000.0,1,1000000.0,0,0.0,93,4170.3755656602425,9,23,25,7,1,2,762,260171603.32352751,341432.5502933432,99999.99999999999,0.6362956774455756,0.039312514391823615,0.3852420769578542,9,23,25,7,1,2,761,260164005.54601574,341871.22936401545,99999.99999999999,0.6358515271974206,0.039313662466620325,0.38525332749031255,731,730,700,699,684,683,499,499,78,5985.467966474078,78,5985.467966474078,185,607947.1555617913,184,600349.3780500252,198,13953733.279746074,198,13953733.279746074,83,27374888.59044246,83,27374888.59044246,218,218229048.82981068,218,218229048.82981068,0.3451443569553806,0.3442838370565046,821,820,870,869
2026-06-06,172,0,0,0.0,0.0,5167580.659369941,11,3128002.0,5,1306000.0,0,0.0,156,733578.6593699412,15,22,28,12,4,2,772,261993605.32352751,339369.9550822895,99999.99999999999,0.638651062044763,0.03903912039139189,0.38256295876397844,14,22,27,12,4,2,771,261993605.32352608,339810.1236362206,99999.99999999999,0.63818238637946,0.039039120391392096,0.3825629587639805,740,740,705,705,689,689,502,502,83,6335.467967878037,82,6335.467966474078,187,615176.1849251003,187,615176.1849251003,200,14071154.25038136,200,14071154.25038136,83,28071890.59044246,83,28071890.59044246,219,219229048.8298107,219,219229048.8298107,0.34974093264248707,0.34889753566796367,833,832,882,881
2026-06-07,62,0,0,0.0,0.0,5599472.835454449,6,2233000.0,8,2334999.53380911,0,0.0,48,1031473.3016453392,15,18,25,2,4,0,770,261891605.7897184,340118.96855807584,99999.99999999999,0.6384046994279579,0.03905432504855618,0.3827119564507462,15,18,25,2,4,0,769,261891605.78971702,340561.25590340316,99999.99999999999,0.6379344844727364,0.03905432504855639,0.3827119564507482,737,737,703,703,685,685,499,499,85,6441.301449908077,84,6441.301448504118,186,613166.1849251003,186,613166.1849251003,197,13771058.88309022,197,13771058.88309022,83,28271890.59044246,83,28271890.59044246,219,219229048.82981068,219,219229048.82981068,0.35194805194805195,0.3511053315994798,835,834,885,884
2026-06-08,80,0,0,0.0,0.0,4047081.8504604464,8,1926000.0,6,2113000.0,0,0.0,66,8081.850460446274,14,20,26,6,4,0,772,261704605.7897184,338995.6033545575,99999.99999999999,0.6394950885542481,0.03908223116339907,0.3829854217787267,14,20,26,6,4,0,771,261704605.789717,339435.2863679857,99999.99999999999,0.6390275076055594,0.039082231163399275,0.38298542177872874,739,739,707,707,687,687,500,500,85,6541.301449908077,84,6541.301448504118,187,610166.1849251003,187,610166.1849251003,197,13596958.88309022,197,13596958.88309022,85,29261890.59044246,85,29261890.59044246,218,218229048.82981068,218,218229048.82981068,0.35233160621761656,0.35149156939040205,841,840,891,890
2026-06-09,134,0,0,0.0,0.0,3844180.5599170276,11,2019000.0,7,1707000.0,0,0.0,116,118180.55991702754,21,42,50,22,5,1,790,262016605.78971836,331666.5896072384,99999.99999999999,0.6473543268193916,0.03903569344077562,0.38252937644055124,21,42,50,22,5,1,789,262016605.78971702,332086.9528386781,99999.99999999999,0.6469073741284238,0.03903569344077582,0.3825293764405532,750,750,716,716,688,688,502,502,102,8451.306449908077,101,8451.306448504118,186,610710.0462963851,186,610710.0462963851,200,13806505.016718935,200,13806505.016718935,83,28361890.59044246,83,28361890.59044246,219,219229048.82981068,219,219229048.82981068,0.36455696202531646,0.3637515842839037,863,862,916,915
2026-06-10,57,0,0,0.0,0.0,4267455.584513924,15,2616000.0,6,1608840.0,0,0.0,36,42615.584513924325,16,27,36,14,2,2,804,263023765.78971836,327143.98730064475,99999.99999999999,0.6517110243505561,0.038886219537199763,0.38106461037418793,16,27,36,14,2,2,803,263023765.78971696,327551.38952642214,99999.99999999999,0.6512772896361821,0.03888621953719997,0.38106461037419,757,757,723,723,694,694,505,505,110,8652.028774239863,109,8652.028772835904,189,626034.4518471054,189,626034.4518471054,203,14198139.888843883,203,14198139.888843883,82,27961890.59044246,82,27961890.59044246,220,220229048.82981068,220,220229048.82981068,0.3718905472636816,0.3711083437110834,877,876,930,929
