date,transfers,mint_count,burn_count,mint_volume,burn_volume,p2p_volume,issuance_count,issuance_volume,redemption_count,redemption_volume,internal_count,internal_volume,transfer_count,transfer_volume,unique_senders,unique_receivers,active_addresses,new_addresses,zeroed_addresses,resurrected_addresses,holders_gt0,circulating_supply,mean_balance,median_balance,gini,top10_share,top100_share,unique_senders_ex_hub,unique_receivers_ex_hub,active_addresses_ex_hub,new_addresses_ex_hub,zeroed_addresses_ex_hub,resurrected_addresses_ex_hub,holders_gt0_ex_hub,circulating_supply_ex_hub,mean_balance_ex_hub,median_balance_ex_hub,gini_ex_hub,top10_share_ex_hub,top100_share_ex_hub,holders_ge1,holders_ge1_ex_hub,holders_ge100,holders_ge100_ex_hub,holders_ge1000,holders_ge1000_ex_hub,holders_ge10000,holders_ge10000_ex_hub,n_lt_1k,val_lt_1k,n_lt_1k_ex_hub,val_lt_1k_ex_hub,n_1k_10k,val_1k_10k,n_1k_10k_ex_hub,val_1k_10k_ex_hub,n_10k_100k,val_10k_100k,n_10k_100k_ex_hub,val_10k_100k_ex_hub,n_100k_1m,val_100k_1m,n_100k_1m_ex_hub,val_100k_1m_ex_hub,n_ge_1m,val_ge_1m,n_ge_1m_ex_hub,val_ge_1m_ex_hub,share_holders_lt10k,share_holders_lt10k_ex_hub
2025-06-03,1,1,0,100000000.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,
2025-08-04,1,0,0,0.0,0.0,100000000.0,0,0.0,0,0.0,1,100000000.0,0,0.0,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,
2025-08-18,2,0,0,0.0,0.0,6000.0,1,3000.0,1,3000.0,0,0.0,0,0.0,1,1,1,0,0,0,0,0.0,,,,,,1,1,1,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,
2025-09-26,1,1,0,300000000.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,
2025-09-29,2,0,0,0.0,0.0,6000.0,1,3000.0,1,3000.0,0,0.0,0,0.0,1,1,1,0,0,0,0,0.0,,,,,,1,1,1,0,0,0,0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,
2025-10-27,2049,0,0,0.0,0.0,16532821.271472892,284,9845451.0,18,1149678.0,0,0.0,1747,5537692.271472891,134,1040,1040,974,0,0,974,8695773.0,8927.898357289529,20.0,0.9554190900521692,0.6675147409809089,0.9355238182014008,117,1019,1019,966,0,0,966,6515805.267492519,6745.140028460164,20.0,0.9432442991636125,0.5764498547479794,0.9171810271558817,956,950,305,301,260,258,103,101,714,22057.110263528688,708,21019.16894220404,157,508613.1305638221,157,508613.1305638221,94,2460546.0974488687,93,2430137.9679743117,7,2556035.0000121812,7,2556035.0000121812,2,3148521.6617115997,1,1000000.0,0.8942505133470225,0.8954451345755694
2025-10-28,1522,0,0,0.0,0.0,22428635.51412346,211,6694555.0,14,54797.0,0,0.0,1297,15679283.51412346,166,614,637,499,7,0,1466,15335531.0,10460.798772169168,20.0,0.9489519791987937,0.5852046814524534,0.8913446499701428,140,585,608,497,7,0,1456,12259729.511734921,8420.143895422336,20.0,0.9383644300009139,0.5134273145239436,0.8662001829575541,1420,1412,678,674,448,444,170,168,1018,50132.15952337584,1012,50017.675131951764,278,916155.3291753484,276,910331.8905280533,153,4386322.594352695,153,4386322.594352695,14,4054496.383189356,13,3913057.3517222195,3,5928424.533759225,2,3000000.0,0.8840381991814461,0.8846153846153846
2025-10-29,1547,0,0,0.0,0.0,34344301.81456037,154,8355500.0,15,352149.0,0,0.0,1378,25636652.814560372,165,667,705,542,18,0,1990,23338882.0,11728.081407035175,20.0,0.9617726953633748,0.618553187361451,0.9032477734553321,143,642,680,541,18,0,1979,16059167.686199527,8114.789128953778,20.0,0.9469954129787007,0.490889490283313,0.8620726061706323,1932,1923,868,862,565,560,200,196,1425,63320.554823917664,1419,62592.747352219245,365,1194436.6513229497,364,1192406.3986740801,175,4929399.763318977,174,4918859.53436273,21,6298661.819834096,19,5885309.005810497,4,10853063.21070006,3,4000000.0,0.8994974874371859,0.9009600808489135
2025-10-30,885,0,0,0.0,0.0,32101422.51879229,113,10890271.0,8,184732.0,0,0.0,764,21026419.51879229,150,290,322,169,16,0,2143,34044421.00000001,15886.337377508169,20.0,0.9662518453937864,0.6290153630337968,0.9161761387002018,126,263,295,169,16,0,2132,21511815.451345716,10089.96972389574,20.0,0.9486360984542983,0.4616239823750033,0.8698318029205818,2074,2066,993,988,640,636,237,234,1503,72231.05500497279,1496,71502.69477850795,403,1334938.8668550751,402,1332499.1484105953,206,5789958.659202158,205,5778735.859988809,23,7020631.421214564,22,6272828.584347373,8,19826660.99772323,7,8056249.163820431,0.8894073728418106,0.8902439024390244
2025-10-31,1215,0,0,0.0,0.0,91832470.36838154,108,8662820.0,9,2321209.0,0,0.0,1098,80848441.36838154,184,277,317,127,10,1,2261,40386032.0,17862.0221141088,29.47507052142791,0.9678471102547487,0.6482988995859112,0.9163278699297084,157,247,287,126,10,1,2249,23602210.58025053,10494.535607047814,28.24085653353409,0.9471788312598514,0.46888415476616363,0.8601068365348976,2179,2169,1086,1080,710,705,258,255,1551,76913.78505311988,1544,76123.07211301876,452,1487748.9785632323,450,1480961.179641691,227,6367242.646722272,226,6354423.738897715,20,5271906.48541998,20,5271906.48541998,11,27182220.104241397,9,10418796.104178127,0.885891198584697,0.8866162738995109
2025-11-01,1139,0,0,0.0,0.0,46151883.74557069,127,5507100.0,13,3588582.0,0,0.0,999,37056201.74557069,266,382,427,188,20,4,2433,42304550.0,17387.813399095765,79.99699682150992,0.9652348886611355,0.6436055461039253,0.9042584968667488,243,357,402,188,20,4,2421,30525029.602211475,12608.438497402509,75.0,0.9538900498351232,0.560259238467677,0.8709572396847971,2322,2312,1203,1196,801,796,280,276,1632,84434.62554798208,1625,83357.46688568238,521,1708873.7166120417,520,1702837.911526393,248,7223860.319344886,247,7209706.155289695,21,5059938.33306428,20,4927198.2293714015,11,28227443.00543081,9,16601929.839138301,0.8849157418824497,0.885997521685254
