address,degree,turnover,balance,n_tx_in,n_tx_out,received_mint,sent_burn,first_seen
0x000000000004444c5dc75cb358380d2e3de08a90,1261,3007126233.3421793,33334826.99521954,10181,6906,False,False,2025-10-27
0x74de5d4fcbf63e00296fd95d33236b9794016631,747,618575863.213775,0.0,2384,2564,False,False,
0x533c62c39fa1464cd7919d20175663b3e3a8f214,327,425364075.05057365,17207710.146162223,255,429,False,False,2026-01-15
0x66431487ff7c006d4b8cbdf1923d02bab452d0da,195,101630381.03003961,1650587.0000000026,179,162,False,False,2026-03-11
0x66a9893cc07d91d95644aedd05d03f95e1dba8af,194,178018852.7995333,0.0,727,626,False,False,
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,188,148294377.12203825,0.0,445,811,False,False,2025-11-03
0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,158,51363360.54156262,0.0,359,359,False,False,
0x4bab2cb2ed6ee2d564ba5398cab4161d95e58f1b,127,57061549.2244819,0.0,315,388,False,False,
0xb74749b2213916b1da3b869e41c7c57f1db69393,114,22192926.796561316,4376020.3820605995,122,115,False,False,2025-11-03
0x7f0bd861e5d85655159c5bb43b2f8dacafce4075,90,3782761.720204724,17.90026947924881,75,131,False,False,2025-10-27
0x7f54f05635d15cde17a49502fedb9d1803a3be8a,89,175269303.73114622,0.0,624,654,False,False,
0x9a47f3289794e9bbc6a3c571f6d96ad4e7baed16,84,36535132.675266095,1e-18,168,333,False,False,2025-11-04
0x9c8b5b82fd99c6e46c9da84d9a1bf176aabdc16d,84,11013324.421269815,0.0,81,81,False,False,
0xb9a1e63750f63b4e0a0b546a010d18d4517b3619,76,12179072.815520046,0.0,76,76,False,False,
0x6dcf30131687db0aaf851586ce66a670caaed17f,69,220938.45026711302,8.281437090370474,119,98,False,False,2026-01-16
0x8f10b468b06c6fd214b65f87778827f7d113f996,66,456945834.86402285,1e-18,958,863,False,False,2026-04-17
0x3847fd026ed1827cbf0948d72467c07afb6a8e80,66,204536.22417262258,4864.204172622578,19,76,False,False,2025-11-21
0x89c6340b1a1f4b25d36cd8b063d49045caf3f818,64,33136071.67852278,0.0,91,91,False,False,
0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,63,440266570.37396824,1e-18,808,821,False,False,2025-10-27
0x990636ecb3ff04d33d92e970d3d588bf5cd8d086,62,136243189.2750463,1e-18,509,999,False,False,2026-03-12
0x44abb11fa452947256b87bce6525d6155eb901f0,58,2801444.396478411,15444.396477422404,5,116,False,False,2026-04-06
0x27174049afb909bdf1e0cd5ef4f3821c69ddc425,56,139914042.33311716,0.0,206,282,False,False,2026-03-31
0x111111125421ca6dc452d289314280a0f8842a65,56,112644254.48524286,0.0,421,267,False,False,
0xf5042e6ffac5a625d4e7848e0b01373d8eb9e222,52,8001023.318907395,0.0,78,78,False,False,
0xe2bf994f0a31a4fb76ae88c29f29bff2b0be515f,51,40935.0,3064.9999999999995,5,141,False,False,2026-05-04
0x00000688768803bbd44095770895ad27ad6b0d95,50,12584550.690921158,2252.112620907194,74,81,False,False,2025-10-30
0xf48a3f7c0575c85cf4529aa220caf3c055773f1c,49,128170285.60353479,0.0,545,633,False,False,
0x9008d19f58aabd9ed0d60971565aa8510560ab41,48,70215835.1058105,15153.209852058026,179,152,False,False,2025-11-10
0xe6eb8344c6d6ff331dae224625d2a96deea68f2a,46,6989286.796529363,0.0,45,45,False,False,
0x69460570c93f9de5e2edbc3052bf10125f0ca22d,42,14956669.471049763,7.1999827157e-08,53,78,False,False,2026-07-06
0xba1333333333a1ba1108e8412f11850a5c319ba9,41,606924.2754050022,6752.986375325355,76,178,False,False,2026-01-19
0x000000000000040470635eb91b7ce4d132d616ed,40,1443487.8517435277,29591.691372712692,110,140,False,False,2025-10-27
0x663dc15d3c1ac63ff12e45ab68fea3f0a883c251,36,18101041.62927794,0.0,34,43,False,False,
0x163f3103de041d25464e2c8a4f8f3187ec1856e0,35,42401849.01164258,0.0,190,190,False,False,
0x207e1074858a7e78f17002075739ed2745dbaece,35,23963127.24639282,0.0,80,87,False,False,
0x4c3ccc98c01103be72bcfd29e1d2454c98d1a6e3,35,19681755.949145447,1e-18,113,210,False,False,2026-05-09
0x6683b4758bd37e6bf210b84b2724cbe8992102e8,31,124647709.51661944,362.5109972288675,49,94,False,False,2026-01-15
0x6a000f20005980200259b80c5102003040001068,31,50924791.6993723,1e-18,194,136,False,False,2025-11-02
0x80f596e6dfb34ba0731adb02352c9b760caef019,31,3015718.161623287,3.8062370521297404,20,24,False,False,2025-10-27
0x6179bb790dd1d08290249a64a846063a7330c816,30,654.0,392.0,14,19,False,False,2026-07-20
