address,degree,turnover,balance,n_tx_in,n_tx_out,received_mint,sent_burn,first_seen
0x87c73135387346013b1a5d7ec340f1020c6866f9,6251,29779300.279999997,21567719.72,7,8883,False,False,2026-06-18
0x24dde1c83adfbf5abd6a61775ecb65eae8da8da7,2380,1446529622.593388,1261393410.3215792,6376,305,False,False,2026-06-30
0x8549e82239a88f463ab6e55ad1895b629a00def3,1394,3938616808.0,921383192.0,4,3149,True,False,
0x2a1e3ac1aecd1b9a898ae705ef2b9ccffb955bba,381,3178628.0,3039772.0,3,1632,False,False,2026-06-18
0xb808af91bdc577bfb3f9c91470f3286dd076e5c1,330,201807390.05023158,199038192.07879445,576,14,False,False,
0x0526d509356474e8c90ac707a7702b01478f5deb,54,91324.21314015289,20600.7861475942,448,537,False,False,2026-05-19
0x62b6ef2a480bf7f05ce010306d678c0466ac4fc2,50,989074.15196305,81.0233179477415,485,386,False,False,2026-05-27
0x4e447d8c831406e28128321fcda0bad603ca125d,48,42710.011,4709.989,5,45,False,False,2026-06-03
0xafe9bdec7d0629f2e9424d571cded735eb5d9fe1,39,469027.22719742946,8.4e-17,82,114,False,False,2026-05-18
0xe340371845820cb16cb8908e0ed07e2e1ff40024,39,21.3365,18.6725,10,35,False,False,2026-05-26
0x12609c3a7a1a212953417c90472cdcf034965a1c,28,171582.21219731262,48601.0808159362,17,20,False,False,2026-06-29
0xf8b7959450bdf440e1ca00214b6fe107547181d3,15,510744.09259204,0.0,19,19,False,False,
0x39fc8e2377bb75f455b2a2505d33779d98c41aca,14,514494.95547870186,60312.724988131195,65,40,False,False,2026-05-17
0x900aa9d6f8d2409910e3954d63e1a32777b94892,13,5764.0,0.0,85,293,False,False,
0x2d2c8b468902a78d4429cdae700361625e2822f5,13,2106.0,0.0,29,123,False,False,
0x02aa06bdde9e43751d5e1211b1e9fa0ead7c145f,9,12124278.40129036,0.0,14,13,False,False,2026-05-22
0x1c9f3f47873ea27dcc1558792d9620d794be151b,9,8491636.0,0.0,38,21,False,False,2026-06-01
0x2d850996955728487f9d3566dfc3d9e696eccbd6,9,502860.0,0.0,5,8,False,False,2026-05-22
0xe751b85d9d39fd5c12b24e5c757f9553181f7227,9,7809.999999999999,0.0,5,5,False,False,2026-05-22
0x296f5c137b8940776f2e602c6213719bc60f3ef4,9,1719.45055754,1459.39055754,3,6,False,False,2026-05-26
0xed67d22213a2366c32f4b90cb4ce6ca008c02c71,9,628.0,0.0,7,7,False,False,2026-05-22
0x9a814a94daf12d98e7336a196edbb10efebccbc4,8,14028820.006119138,0.0,24,14,False,False,2026-05-30
0xf869000311bfaebfa30533571636e006e1ad0ab0,8,600076.26760564,0.0,4,5,False,False,2026-05-24
0xccace475b79e421a2bf46125b1d1011639b0107a,8,50702.0,9298.0,2,80,False,False,2026-05-19
0xd0125830a79e26491055f77d93487ade6ed1ac9a,8,35878.0,0.0,6,11,False,False,2026-05-25
0x0b3e6e293442a3522a12088600dad35fe874aded,8,30298.0,0.0,10,10,False,False,
0x0be1a0ab5905f87095e6b624db9ad49728e90e5c,8,12233.107856310242,0.0,235,235,False,False,
0xde51a8308a963fa5bcb85a9d26a4bdadb0f04c90,8,6603.0,397.0,3,10,False,False,2026-05-19
0xdc20f97239fb634518150173d38203293a37f1f4,8,1880.0280952096966,0.0,11,11,False,False,
0x738986ba7a06738276ffe75b59470381769232fe,8,1000.0,0.0,1,7,False,False,2026-06-09
0x3bf69122d9462d6d5a90cace9bfe1bed0fac0b98,8,414.08382498173904,1e-18,5,6,False,False,2026-06-24
0x98e2ae5e03c2cb822139d7f69490ce49f8efd1a0,7,22018020.0,0.0,16,16,False,False,
0xc4d230260889870c3a567b926d8d28405ca4b61f,7,6843660.0,0.0,13,12,False,False,2026-06-03
0x6017bf434b31c94a8a802fcb3be2a13fc45bd148,7,5220060.0,0.0,11,11,False,False,
0xc1d6d41e2ba83ce3c8bc87f956793e2a2accfb3c,7,4839385.199999999,0.0,7,5,False,False,2026-05-23
0xb435cf4697ffd98a828e22f6af4d22ad635f0d3c,7,4825720.0,0.0,6,6,False,False,2026-05-22
0xa44cf54751a2deaea2fe5a32ecbfb9f93bf917d5,7,4206050.0,0.0,17,11,False,False,
0xc1e1dc882e3c955d98db7d8b67c2c776a7cf9cdb,7,2427704.0,0.0,11,8,False,False,2026-05-25
0xaa9b0cbd602c3101aec8f0ba58a244c2d4eb88a5,7,2000120.0000000002,0.0,9,9,False,False,
0x09d35ba9e52f987c9e2e7120a8f745b4dd7c338d,7,1400080.0,0.0,9,9,False,False,
