address,degree,turnover,balance,n_tx_in,n_tx_out,received_mint,sent_burn,first_seen
0x01d316ec6aa3a634348468fba8c8668e6dfdba57,52723,29923439.652805336,412721.71660356934,27,203736,False,False,2025-11-06
0x9c8b5b82fd99c6e46c9da84d9a1bf176aabdc16d,3998,551052238.5172166,0.0,3992,3995,False,False,
0x33b41fe18d3a39046ad672f8a0c8c415454f629c,3786,83085734.6324863,1282.9614005073124,3720,3776,False,False,2025-10-31
0x699aa01ba343fc6625991a2fb45783d339a8ebdb,3210,1281760.6809492982,0.0,3205,25,False,False,2025-11-18
0x11ac06159e63ff7eb29e5fb2b577eb5700cf9fb0,3097,1237799.4912614464,0.0,3093,20,False,False,2025-11-18
0x67366782805870060151383f4bbff9dab53e5cd6,3050,7162737725.689245,33468606.260292005,55557,28611,False,False,2025-10-27
0x16feebd8a0406debc5eaa4eda7b0d73569a66f26,2987,13589915.710923947,3610284.289076054,5,5366,False,False,2026-01-22
0x1eb96976a6b1f3b52ad222d838920dd2f5eedd47,2815,1125399.6432522598,0.0,2812,19,False,False,2025-11-18
0x01b755685b2ab5e0bebba0c2a5a2fae0c2d8cc4a,2803,1120599.4541439523,0.0,2800,19,False,False,2025-11-18
0x43312232d33544ceb8fa28ae8e504a8b90667a0b,2779,1111399.4338371984,0.0,2777,18,False,False,2025-12-07
0xc590175e458b83680867afd273527ff58f74c02b,2072,849059776.4680405,0.0,6310,6573,False,False,
0xb9a1e63750f63b4e0a0b546a010d18d4517b3619,1740,272813056.39938563,0.0,1734,1734,False,False,
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,1429,939364427.8096789,0.0,6205,9084,False,False,
0x8b8e45061eb3e31ec3dc84652b98848671c2a4f7,1254,500800.0,0.0,1252,2,False,False,2025-12-01
0xe6eb8344c6d6ff331dae224625d2a96deea68f2a,1163,182610648.8562226,0.0,1162,1162,False,False,
0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,1100,719680347.2431366,0.0,4288,4300,False,False,
0xc15cb4f3fc767656b593157dba2cd845312e07c6,1091,185807212.58012235,0.0,1088,1088,False,False,
0xeed12a082e816748489077f4937edf01c2a96d26,1047,486000.5059999984,1.552e-09,1041,15,False,False,2025-11-13
0x8799a448d547eada5a8f8ec2df074db7947e3ba7,977,387815.1,1.0,973,16,False,False,2025-11-13
0xfda7e76f768ce8152bbe6e2acbf5bf16faf02eb6,810,2439842373.046407,1814309.998259679,7107,5241,False,False,2025-10-27
0xfe49e0f18fff77891c716d5ec77cd67bbffb1234,768,305149.8042825748,49.8042825748422,763,8,False,False,2025-11-20
0x5615f31d75b563a9515e161d4ef4a82fd767ed8d,732,290540.0,0.0,730,3,False,False,2025-12-06
0x07028f43be2d6b9569a67bde22166e76a9cd42a7,715,695700.0,0.0,710,13,False,False,2025-11-12
0x5fa7fe5f94f2d15585a3134c1c5d3019c8c1645d,710,132623652.75999999,82458689.26,1223,161,False,False,2026-04-27
0x11696ee7a88b93a9c2dad7c6a053a83c045a4fb6,691,274200.12,600.0,687,18,False,False,2025-11-19
0x596d41ff500b210ba3783a05eca080b0c8071313,631,251600.0,0.0,629,3,False,False,2026-02-01
0x3443c581214f7f8d3a88fb704aa02441c1f78476,622,246800.0,0.0,617,5,False,False,2025-12-01
0xfaa2da3a2f60563985bb2aa8fbb66a1ab1ec0816,605,241200.0,0.0,603,11,False,False,2025-12-05
0xf5d1af96713d5dc199c35adb172fae50a979b956,592,236400.0,0.0,591,1,False,False,2026-03-29
0xced479e12d121a90b860050a74d0023baaa8918f,588,11456.0,560.0,3,599,False,False,2025-12-03
0x5d26c34b452179b16c9288108d46f42140f4ee87,578,86646655.42271887,0.0,577,577,False,False,
0xe4baea221903fdb3d6786c40e02f05717258c9d3,563,224000.02000000002,0.0,560,10,False,False,2025-12-07
0xac6fee518cf1c00cb17535bade477ee6ea87ebfd,551,0.005000000000002713,0.004999999999997287,1,550,False,False,2026-01-15
0x533c62c39fa1464cd7919d20175663b3e3a8f214,545,428323841.08200365,12786972.9819121,476,616,False,False,2026-01-25
0x0db725cb943d273b0e029eff6cd32d833cda1a10,537,30287.464000000004,30112.535999999996,3,544,False,False,2025-12-25
0xfb7c744da69aef11dfb54f31d9db12a3b086b025,517,168702154.34939015,-50553.749999934626,1615,3214,False,False,2025-11-26
0x3847fd026ed1827cbf0948d72467c07afb6a8e80,509,64997.907116726245,7.9071167262487965,5,706,False,False,2025-10-27
0xbbef20f7d0525c7fb055113b91133feff67e0576,490,193825.0,1.0,487,3,False,False,2025-11-27
0x1095692a6237d83c6a72f3f5efedb9a670c49223,437,392383852.8212125,0.0,4745,6735,False,False,
0xbda506776accb792a20ae1464edbf009d912d4fe,431,15053770.865831899,55634.1166111611,4220,6917,False,False,2025-11-11
